ID JCDECAUX,Marques,Année,Reftest,Nom_fichier_visuel,FAMILLE,CLASSE,Nombre de visuels,Type de campagne,Couleur dominante,Couleur propre à la marque ? ,1er point d'accroche,Personnages,Si Egérie : est-elle propre à la marque ou également sur d'autres marques ? ,Utilisation de l'égérie dans le temps,Genre,Tranche d'âge,Quantité/Place du texte dans le visuel,Discours utilisé,"Style de texte 
(Lettres)",Taille du logo,Eléments de branding,Présence d'un QR Code,Langue du claim,Contraste,Place du logo,Notoriété (base YouGov),Mise en avant prix,Charge visuelle,image_path
1943.0,DIESEL,2019.0,2220531908.0,2220531908 DIESEL,HYGIENE_BEAUTE,PARFUMS,1.0,Produit,Marron,Non ,Personnage,Célébrité,Sur d'autres marques,1ère utilisation ,Homme,Adulte,Faible,Descriptif,Majuscule gras,Petit,Moyen,Non,Français,Un peu contrasté,Bas droit,0.74,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220531908 DIESEL.jpg
1915.0,FORD,2019.0,2220531902.0,2220531902 FORD,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,1.0,Produit,Rouge,Non ,Personnage,Célébrité,Sur d'autres marques,1ère utilisation ,Homme,Adulte,Fort,Humoristique,Majuscule gras,Petit,Beaucoup,Non,Français,Très contrasté,Haut milieu,0.89,Prix indiqué,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220531902 FORD.jpg
1915.0,FORD,2019.0,2220391904.0,2220391904 JCD_FORD_FIESTA_01,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,1.0,Produit,Gris,Non ,Personnage,Célébrité,Sur d'autres marques,Déjà utilisée,Homme,Adulte,Fort,Humoristique,Majuscule gras,Petit,Beaucoup,Non,Français,Un peu contrasté,Haut milieu,0.89,Prix indiqué,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220391904 JCD_FORD_FIESTA_01.jpg
1981.0,JEAN PAUL GAULTIER,2019.0,2220771916.0,2220771916 BAT-OOH_2m2_SCANDAL_DECAUX_FR-OK-copie,HYGIENE_BEAUTE,PARFUMS,1.0,Produit,Noir,Dominante,Produit/Service,Célébrité,Sur d'autres marques,1ère utilisation ,Femme,Jeune adulte,Faible,-,Majuscule gras,Moyen,Moyen,Non,Français,Pas contrasté,Bas droit,0.46,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220771916 BAT-OOH_2m2_SCANDAL_DECAUX_FR-OK-copie.jpg
1935.0,LACOSTE,2019.0,2220501907.0,2220501907 KIOSK_LACOSTE_01,MODE_ET_ACCESSOIRES,PRÊT A PORTER COUTURE,3.0,Branding,Gris,Présente,Personnage,Célébrité,Sur d'autres marques,1ère utilisation ,Les 2,Jeune adulte,Faible,Explicatif/Narratif,Majuscule gras,Petit,Peu,Non,Aucun claim,Un peu contrasté,Haut milieu,0.88,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220501907 KIOSK_LACOSTE_01.jpg
1960.0,LANCOME,2019.0,2220651911.0,2220651911 JCD_MU_LANCOME_02,HYGIENE_BEAUTE,PARFUMS,2.0,Produit,Noir,Présente,Produit/Service,Célébrité,Sur d'autres marques,1ère utilisation ,Femme,Jeune adulte,Faible,-,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut milieu,0.84,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220651911 JCD_MU_LANCOME_02.jpg
1960.0,LANCOME,2019.0,2220651911.0,2220651911 LANCOME-1-copie,HYGIENE_BEAUTE,PARFUMS,2.0,Produit,Rose,Dominante,Produit/Service,Célébrité,Sur d'autres marques,1ère utilisation ,Femme,Jeune adulte,Faible,-,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut gauche,0.84,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220651911 LANCOME-1-copie.jpg
1983.0,OPPO,2019.0,2220791911.0,2220791911 OPPO-client,TELECOMMUNICATIONS,MATERIEL TELECOMS,1.0,Produit,Violet,Dominante,Produit/Service,Personne seule,,,Femme,Jeune adulte,Moyen ,Explicatif/Narratif,Minuscule gras,Petit,Beaucoup,Non,Français,Un peu contrasté,Haut gauche,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220791911 OPPO-client.jpg
1914.0,MCDONALD'S,2019.0,2220761906.0,2220761906 JCD_MU_MC_DO_01,RESTAURATION,RESTAURATION RAPIDE,3.0,Produit,Blanc,Dominante,Produit/Service,-,-,-,-,-,Moyen ,Humoristique,Minuscule gras,Moyen,Moyen,Non,Français,Un peu contrasté,Haut droit,0.94,Prix indiqué,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220761906 JCD_MU_MC_DO_01.jpg
1914.0,MCDONALD'S,2019.0,2220761906.0,2220761906 JCD_MU_MC_DO_02,RESTAURATION,RESTAURATION RAPIDE,3.0,Produit,Blanc,Dominante,Produit/Service,-,-,-,-,-,Moyen ,Humoristique,Minuscule gras,Moyen,Moyen,Non,Français,Un peu contrasté,Haut droit,0.94,Prix indiqué,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220761906 JCD_MU_MC_DO_02.jpg
1923.0,FERRERO,2019.0,2220751911.0,2220751911 FERREFO-GF,ALIMENTATION,CHOCOLATS CONFISERIE,2.0,Produit,Marron,Dominante,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Minuscule gras,Petit,Beaucoup,Non,Français,Pas contrasté,Dans le corps du visuel,0.92,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220751911 FERREFO-GF.jpg
1923.0,FERRERO,2019.0,2220751911.0,2220751911 FERREFO-GF,ALIMENTATION,CHOCOLATS CONFISERIE,2.0,Produit,Marron,Dominante,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Minuscule gras,Petit,Beaucoup,Non,Français,Pas contrasté,Dans le corps du visuel,0.92,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220751911 FERREFO-GF.jpg
